label,message
spam,"Free camera phone with any new contract, call 08707500020 now to order"
ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
ham,I did. One slice and one breadstick. Lol
ham,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
spam,"Your loan has been approved, call 08000930705 to arrange transfer today"
spam,"Get the latest ringtones and wallpapers, txt TONE to 87131 now, subscription service"
spam,"You are a lucky winner, txt WON to claim your holiday voucher now"
ham,Was it something u ate?
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
spam,"You have 1 new voicemail, please call 08712400200 to retrieve it, cost 150p/min!"
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
ham,K still are you loving me.
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
spam,"Free entry into our weekly competition, txt WIN to 83355 to enter now"
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
ham,Come to my home for one last time i wont do anything. Trust me.
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
spam,"Cash prize awaiting collection, call 09050000878 to claim your 1000 pounds now"
spam,"You are a lucky winner, txt WON to claim your holiday voucher now"
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THAT?S AL!!!!!!!!!
ham,What???? Hello wats talks email address?
spam,UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
spam,"Free entry into our weekly competition, txt WIN to 83355 to enter now!"
ham,Lol no. U can trust me.
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
spam,"Your mobile number has won you a cash prize of 500 pounds, call to claim"
spam,"Free entry into our weekly competition, txt WIN to 83355 to enter now"
ham,"Maybe westshore or hyde park village, the place near my house?"
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
ham,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks
spam,"WINNER!! As a valued network customer you have been selected to receive a prize, call now"
ham,they released another Italian one today and it has a cosign option
ham,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!"
ham,Crucify is c not s. You should have told me earlier.
spam,"Free camera phone with any new contract, call 08707500020 now to order"
spam,FreeMsg: Txt CALL to 86888 & claim your reward of 3 hours talk time
ham,Happy birthday to you....dear.with lots of love.rakhesh NRI
ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
ham,That one week leave i put know that time. Why.
ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
spam,"Your loan has been approved, call 08000930705 to arrange transfer today"
ham,You still at grand prix?
spam,"Reply YES to activate your free trial, then get charged 5 pounds per week"
ham,Speak only when you feel your words are better than the silence... Gud mrng:-)
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
spam,"WINNER!! As a valued network customer you have been selected to receive a prize, call now"
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
spam,"WINNER!! As a valued network customer you have been selected to receive a prize, call now"
ham,"Reply YES to activate your free trial, then get charged 5 pounds per week"
ham,"Reply YES to activate your free trial, then get charged 5 pounds per week"
ham,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
ham,....photoshop makes my computer shut down.
ham,Well I'm going to be an aunty!
ham,Exactly. Anyways how far. Is jide her to study or just visiting
ham,K then 2marrow are you coming to class.
spam,"Congratulations! You have won a free ringtone, txt CLAIM to 80488 now"
spam,UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub
spam,"Your mobile number has won you a cash prize of 500 pounds, call to claim"
spam,"Your loan has been approved, call 08000930705 to arrange transfer today"
ham,Mm you ask him to come its enough :-)
ham,Nice talking to you! please dont forget my pix :) i want to see all of you...
spam,FreeMsg: Txt CALL to 86888 & claim your reward of 3 hours talk time
ham,We are both fine. Thanks
ham,"sure, but make sure he knows we ain't smokin yet"
ham,If You mean the website. Yes.
spam,"Get the latest ringtones and wallpapers, txt TONE to 87131 now, subscription service"
spam,"URGENT! You have won a 1 week FREE membership, call 09061701444 now"
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING &amp; HAVE A NICE DAY"" :)"
ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
ham,GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI
ham,"Thursday night? Yeah, sure thing, we'll work it out then"
ham,So what about you. What do you remember
spam,"Free entry into our weekly competition, txt WIN to 83355 to enter now"
spam,"Free camera phone with any new contract, call 08707500020 now to order"
ham,I dont understand your message.
ham,Ya srsly better than yi tho
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
spam,"Congratulations! You have won a free ringtone, txt CLAIM to 80488 now"
spam,"New mobile game download for free, txt GAME to 88800, subscription 3pounds/wk"
ham,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx
spam,Text CHAT to 86688 to talk to hot singles in your area tonight
spam,FreeMsg: Txt CALL to 86888 & claim your reward of 3 hours talk time
spam,"You have 1 new voicemail, please call 08712400200 to retrieve it, cost 150p/min"
ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
spam,Text CHAT to 86688 to talk to hot singles in your area tonight
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
spam,"URGENT! You have won a 1 week FREE membership, call 09061701444 now"
ham,Poor girl can't go one day lmao
spam,"Congratulations! You have won a free ringtone, txt CLAIM to 80488 now"
spam,"Your mobile number has won you a cash prize of 500 pounds, call to claim"
spam,"WINNER!! As a valued network customer you have been selected to receive a prize, call now"
spam,"Congratulations! You have won a free ringtone, txt CLAIM to 80488 now"
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
spam,"Reply YES to activate your free trial, then get charged 5 pounds per week"
spam,"Your mobile number has won you a cash prize of 500 pounds, call to claim"
spam,"Free entry into our weekly competition, txt WIN to 83355 to enter now"
spam,"New mobile game download for free, txt GAME to 88800, subscription 3pounds/wk!"
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
ham,"Aight, text me tonight and we'll see what's up"
ham,Can... I'm free...
spam,"Your mobile number has won you a cash prize of 500 pounds, call to claim"
ham,Good evening! this is roger. How are you?
spam,"You have 1 new voicemail, please call 08712400200 to retrieve it, cost 150p/min"
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,Are you going to write ccna exam this week??
spam,UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub
ham,Wait 2 min..stand at bus stop
spam,UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
spam,"Your loan has been approved, call 08000930705 to arrange transfer today"
spam,"You are a lucky winner, txt WON to claim your holiday voucher now"
spam,"WINNER!! As a valued network customer you have been selected to receive a prize, call now"
spam,"Your loan has been approved, call 08000930705 to arrange transfer today"
ham,Sen told that he is going to join his uncle finance in cbe
spam,"Get the latest ringtones and wallpapers, txt TONE to 87131 now, subscription service"
spam,Text CHAT to 86688 to talk to hot singles in your area tonight
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know."
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
spam,"Cash prize awaiting collection, call 09050000878 to claim your 1000 pounds now"
ham,Eh u send wrongly lar...
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
ham,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"
ham,"Aight, you close by or still down around alex's place?"
ham,Will purchase d stuff today and mail to you. Do you have a po box number?
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,Cos darren say ? considering mah so i ask ?...
spam,"New mobile game download for free, txt GAME to 88800, subscription 3pounds/wk"
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,No objection. My bf not coming.
ham,Alright took the morphine. Back in yo.
spam,"Cash prize awaiting collection, call 09050000878 to claim your 1000 pounds now"
spam,Text CHAT to 86688 to talk to hot singles in your area tonight
spam,"You are a lucky winner, txt WON to claim your holiday voucher now"
spam,"You have 1 new voicemail, please call 08712400200 to retrieve it, cost 150p/min"
ham,Ok c ? then.
spam,"You are a lucky winner, txt WON to claim your holiday voucher now"
ham,I think if he rule tamilnadu..then its very tough for our people.
ham,I'm home.
spam,"Get the latest ringtones and wallpapers, txt TONE to 87131 now, subscription service"
spam,FreeMsg: Txt CALL to 86888 & claim your reward of 3 hours talk time
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
spam,"Cash prize awaiting collection, call 09050000878 to claim your 1000 pounds now"
spam,"Reply YES to activate your free trial, then get charged 5 pounds per week"
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
spam,"New mobile game download for free, txt GAME to 88800, subscription 3pounds/wk"
spam,UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub
spam,"New mobile game download for free, txt GAME to 88800, subscription 3pounds/wk"
spam,"Congratulations! You have won a free ringtone, txt CLAIM to 80488 now"
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
spam,"Free camera phone with any new contract, call 08707500020 now to order"
spam,"Free camera phone with any new contract, call 08707500020 now to order"
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
spam,"Your loan has been approved, call 08000930705 to arrange transfer today"
spam,"Get the latest ringtones and wallpapers, txt TONE to 87131 now, subscription service"
spam,"You are a lucky winner, txt WON to claim your holiday voucher now"
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
spam,"You have 1 new voicemail, please call 08712400200 to retrieve it, cost 150p/min!"
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
spam,"Free entry into our weekly competition, txt WIN to 83355 to enter now"
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
spam,"Cash prize awaiting collection, call 09050000878 to claim your 1000 pounds now"
spam,"You are a lucky winner, txt WON to claim your holiday voucher now"
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
spam,UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub
spam,"Free entry into our weekly competition, txt WIN to 83355 to enter now!"
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
spam,"Your mobile number has won you a cash prize of 500 pounds, call to claim"
spam,"Free entry into our weekly competition, txt WIN to 83355 to enter now"
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
spam,"WINNER!! As a valued network customer you have been selected to receive a prize, call now"
spam,"Free camera phone with any new contract, call 08707500020 now to order"
spam,FreeMsg: Txt CALL to 86888 & claim your reward of 3 hours talk time
spam,"Your loan has been approved, call 08000930705 to arrange transfer today"
spam,"Reply YES to activate your free trial, then get charged 5 pounds per week"
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
spam,"WINNER!! As a valued network customer you have been selected to receive a prize, call now"
spam,"WINNER!! As a valued network customer you have been selected to receive a prize, call now"
spam,"Congratulations! You have won a free ringtone, txt CLAIM to 80488 now"
spam,UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub
spam,"Your mobile number has won you a cash prize of 500 pounds, call to claim"
spam,"Your loan has been approved, call 08000930705 to arrange transfer today"
spam,FreeMsg: Txt CALL to 86888 & claim your reward of 3 hours talk time
spam,"Get the latest ringtones and wallpapers, txt TONE to 87131 now, subscription service"
spam,"URGENT! You have won a 1 week FREE membership, call 09061701444 now"
spam,"Free entry into our weekly competition, txt WIN to 83355 to enter now"
spam,"Free camera phone with any new contract, call 08707500020 now to order"
spam,"Congratulations! You have won a free ringtone, txt CLAIM to 80488 now"
spam,"New mobile game download for free, txt GAME to 88800, subscription 3pounds/wk"
spam,Text CHAT to 86688 to talk to hot singles in your area tonight
spam,FreeMsg: Txt CALL to 86888 & claim your reward of 3 hours talk time
spam,"You have 1 new voicemail, please call 08712400200 to retrieve it, cost 150p/min"
spam,Text CHAT to 86688 to talk to hot singles in your area tonight
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
spam,"URGENT! You have won a 1 week FREE membership, call 09061701444 now"
spam,"Congratulations! You have won a free ringtone, txt CLAIM to 80488 now"
spam,"Your mobile number has won you a cash prize of 500 pounds, call to claim"
spam,"WINNER!! As a valued network customer you have been selected to receive a prize, call now"
spam,"Congratulations! You have won a free ringtone, txt CLAIM to 80488 now"
spam,"Reply YES to activate your free trial, then get charged 5 pounds per week"
spam,"Your mobile number has won you a cash prize of 500 pounds, call to claim"
spam,"Free entry into our weekly competition, txt WIN to 83355 to enter now"
spam,"New mobile game download for free, txt GAME to 88800, subscription 3pounds/wk!"
spam,"Your mobile number has won you a cash prize of 500 pounds, call to claim"
spam,"You have 1 new voicemail, please call 08712400200 to retrieve it, cost 150p/min"
spam,UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub
spam,UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub
spam,"Your loan has been approved, call 08000930705 to arrange transfer today"
spam,"You are a lucky winner, txt WON to claim your holiday voucher now"
spam,"WINNER!! As a valued network customer you have been selected to receive a prize, call now"
spam,"Your loan has been approved, call 08000930705 to arrange transfer today"
spam,"Get the latest ringtones and wallpapers, txt TONE to 87131 now, subscription service"
spam,Text CHAT to 86688 to talk to hot singles in your area tonight
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
spam,"Cash prize awaiting collection, call 09050000878 to claim your 1000 pounds now"
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
spam,"New mobile game download for free, txt GAME to 88800, subscription 3pounds/wk"
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
spam,"Cash prize awaiting collection, call 09050000878 to claim your 1000 pounds now"
spam,Text CHAT to 86688 to talk to hot singles in your area tonight
spam,"You are a lucky winner, txt WON to claim your holiday voucher now"
spam,"You have 1 new voicemail, please call 08712400200 to retrieve it, cost 150p/min"
spam,"You are a lucky winner, txt WON to claim your holiday voucher now"
ham,"will you like to be spoiled? :) Best Regards, HackTheBox"
ham,"URGENT! You have won a 1 week FREE membership, call 09061701444 now Best Regards, HackTheBox"
ham,"URGENT!: Your Mobile No. was awarded a ?2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU Best Regards, HackTheBox"
ham,"Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you! Best Regards, HackTheBox"
ham,"Please CALL 08712402902 immediately as there is an urgent message waiting for you. Best Regards, HackTheBox"
ham,"Cash prize awaiting collection, call 09050000878 to claim your 1000 pounds now Best Regards, HackTheBox"
ham,"Cos darren say ? considering mah so i ask ?... Best Regards, HackTheBox"
ham,"Get the latest ringtones and wallpapers, txt TONE to 87131 now, subscription service Best Regards, HackTheBox"
ham,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. ?1.50 increments. Help08718728876 Best Regards, HackTheBox"
ham,"Lol no. U can trust me. Best Regards, HackTheBox"
ham,"WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u. Best Regards, HackTheBox"
ham,"UR awarded a City Break and could WIN a ?200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ?1.50perWKsub Best Regards, HackTheBox"
ham,"Please CALL 08712402972 immediately as there is an urgent message waiting for you Best Regards, HackTheBox"
ham,"I think if he rule tamilnadu..then its very tough for our people. Best Regards, HackTheBox"
ham,"HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x Best Regards, HackTheBox"
ham,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT Best Regards, HackTheBox"
ham,"Alright took the morphine. Back in yo. Best Regards, HackTheBox"
ham,"You have 1 new voicemail, please call 08712400200 to retrieve it, cost 150p/min Best Regards, HackTheBox"
ham,"FreeMsg: Txt CALL to 86888 & claim your reward of 3 hours talk time Best Regards, HackTheBox"
ham,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel Best Regards, HackTheBox"
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
spam,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
spam,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324
ham,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk Best Regards, HackTheBox"
ham,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck! Best Regards, HackTheBox"
ham,"Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q Best Regards, HackTheBox"
ham,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call. Best Regards, HackTheBox"
ham,"Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324 Best Regards, HackTheBox"
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
spam,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
spam,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324
ham,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk Best Regards, HackTheBox"
ham,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck! Best Regards, HackTheBox"
ham,"Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q Best Regards, HackTheBox"
ham,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call. Best Regards, HackTheBox"
ham,"Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324 Best Regards, HackTheBox"
